image,x1,y1,x2,y2,object_type,object_id,bx,by,bw,bh
Beverly_hills368.png,642,435,749,528,Car,0,0.438616071,0.51521164,0.079613095,0.12301587300000001
Beverly_hills368.png,727,441,772,474,Car,0,0.5241815479999999,0.561507937,0.033482143,0.04365079400000001
Beverly_hills368.png,523,433,632,517,Car,0,0.34933035700000004,0.519179894,0.08110119,0.10978836
Beverly_hills368.png,600,419,667,482,Car,0,0.42224702399999997,0.513888889,0.04985119,0.083333333
Beverly_hills368.png,1272,309,1333,386,Street Sign,1,0.923735119,0.35780423299999997,0.045386905,0.10185185199999999
Beverly_hills368.png,268,323,328,391,Street Sign,1,0.177827381,0.38161375700000005,0.044642857,0.09126984099999999
Beverly_hills368.png,564,149,637,210,Palm Tree,2,0.39360119,0.15674603199999998,0.053571429000000004,0.080687831
Beverly_hills368.png,475,151,561,207,Palm Tree,2,0.322172619,0.16269841300000001,0.063988095,0.074074074
Beverly_hills368.png,507,168,585,240,Palm Tree,2,0.34895833299999995,0.175925926,0.058035714,0.095238095
Beverly_hills368.png,392,125,465,193,Palm Tree,2,0.264508929,0.12235449699999999,0.054315475999999994,0.08862433900000001
Beverly_hills368.png,417,166,477,228,Palm Tree,2,0.287946429,0.17857142899999998,0.044642857,0.082010582
Beverly_hills368.png,578,321,608,358,Palm Tree,2,0.41889881,0.401455026,0.022321429,0.048941799
Beverly_hills368.png,610,323,648,352,Palm Tree,2,0.43973214299999996,0.409391534,0.02827381,0.038359788
Beverly_hills368.png,621,341,656,373,Palm Tree,2,0.449032738,0.431216931,0.026041667,0.042328042
Beverly_hills368.png,176,427,224,458,Car,0,0.113095238,0.5462962960000001,0.035714286,0.03968254
Beverly_hills368.png,109,429,179,462,Car,0,0.055803570999999996,0.545634921,0.052083332999999996,0.04365079400000001
Beverly_hills368.png,403,436,435,453,Car,0,0.287946429,0.566798942,0.023809524,0.022486772000000002
Beverly_hills368.png,439,438,470,454,Car,0,0.315104167,0.57010582,0.023065476,0.021164021
Beverly_hills368.png,341,435,380,456,Car,0,0.23921131,0.561507937,0.029017857,0.027777778
Beverly_hills368.png,932,364,986,429,Street Sign,1,0.674107143,0.44047619,0.040178571,0.084656085
Beverly_hills368.png,726,362,764,393,Street Lamp,3,0.525669643,0.46031746,0.029017857,0.03968254
Beverly_hills354.png,815,398,1252,594,Car,0,0.443824405,0.398148148,0.32514881,0.25925925899999996
Beverly_hills354.png,1157,404,1338,530,Car,0,0.794270833,0.451058201,0.134672619,0.166666667
Beverly_hills354.png,389,436,514,526,Car,0,0.243675595,0.5165343920000001,0.09300595199999999,0.12037037
Beverly_hills354.png,114,455,303,555,Car,0,0.015252976000000001,0.537037037,0.140625,0.132275132
Beverly_hills354.png,487,428,555,493,Car,0,0.337797619,0.524470899,0.050595238,0.085978836
Beverly_hills354.png,522,358,772,536,Minivan,4,0.296130952,0.35714285700000004,0.186011905,0.235449735
Beverly_hills354.png,1131,15,1212,139,Traffic Lights,5,0.8113839290000001,-0.06084656099999999,0.060267857,0.164021164
Beverly_hills354.png,985,57,1073,192,Traffic Lights,5,0.700892857,-0.013888889,0.06547619,0.17857142899999998
Beverly_hills354.png,781,241,827,313,Traffic Lights,5,0.564732143,0.272486772,0.03422619,0.095238095
Beverly_hills354.png,949,339,984,387,Traffic Lights,5,0.693080357,0.41798941799999995,0.026041667,0.063492063
Beverly_hills354.png,107,320,152,385,Traffic Lights,5,0.063616071,0.37962963,0.033482143,0.08730158699999999
Beverly_hills354.png,1216,108,1337,178,Street Sign,1,0.8604910709999999,0.09656084699999999,0.090029762,0.092592593
Beverly_hills354.png,1138,296,1187,392,Traffic Lights,5,0.829613095,0.329365079,0.035714286,0.126984127
Beverly_hills354.png,814,252,855,298,Street Sign,1,0.591517857,0.302910053,0.029761905,0.06084656099999999
Beverly_hills354.png,938,287,986,334,Street Sign,1,0.6808035709999999,0.348544974,0.035714286,0.062169312000000004
Beverly_hills354.png,114,260,174,319,Street Sign,1,0.063616071,0.30489418,0.04389881,0.078042328
Beverly_hills354.png,1117,420,1146,482,Pedestrian,6,0.8203125,0.514550265,0.021577381,0.082010582
Beverly_hills354.png,875,18,1037,176,Palm Tree,2,0.59077381,-0.081349206,0.120535714,0.21031746
Beverly_hills354.png,593,240,692,336,Palm Tree,2,0.405505952,0.253968254,0.072916667,0.126984127
Beverly_hills354.png,496,246,582,336,Palm Tree,2,0.337797619,0.265873016,0.063988095,0.11904761900000001
Beverly_hills354.png,231,72,332,151,Street Lamp,3,0.134300595,0.044312169000000005,0.07514881,0.104497354
Beverly_hills354.png,847,160,938,204,Street Lamp,3,0.597098214,0.182539683,0.067708333,0.058201058
Beverly_hills354.png,865,254,925,294,Street Lamp,3,0.622395833,0.30886243399999996,0.04389881,0.054232804
Beverly_hills432.png,876,431,1314,699,Car,0,0.48958333299999995,0.394179894,0.325892857,0.354497354
Beverly_hills432.png,562,430,824,663,Car,0,0.321800595,0.41468254,0.19419642899999998,0.308201058
Beverly_hills432.png,454,445,551,529,Car,0,0.30171131,0.534391534,0.07217261900000001,0.111111111
Beverly_hills432.png,360,436,474,523,Car,0,0.22544642899999998,0.521164021,0.084821429,0.113756614
Beverly_hills432.png,743,325,788,371,Traffic Lights,5,0.53608631,0.39880952399999997,0.033482143,0.062169312000000004
Beverly_hills432.png,195,362,227,406,Traffic Lights,5,0.133184524,0.451058201,0.023809524,0.058201058
Beverly_hills432.png,238,189,310,230,Street Lamp,3,0.150297619,0.22420634899999997,0.053571429000000004,0.054232804
Beverly_hills432.png,856,399,883,433,Traffic Lights,5,0.6268601189999999,0.5072751320000001,0.020089286,0.04365079400000001
Beverly_hills426.png,990,381,1330,733,Car,0,0.610863095,0.27116402100000003,0.25297619,0.465608466
Beverly_hills426.png,672,429,772,522,Car,0,0.462797619,0.5059523810000001,0.074404762,0.12301587300000001
Beverly_hills426.png,712,429,791,497,Car,0,0.501116071,0.524470899,0.058779762,0.08862433900000001
Beverly_hills426.png,764,421,830,483,Car,0,0.543526786,0.517195767,0.04985119,0.082010582
Beverly_hills426.png,422,433,551,529,Car,0,0.26599702399999997,0.508597884,0.095982143,0.128306878
Beverly_hills426.png,376,424,491,517,Car,0,0.236979167,0.498677249,0.085565476,0.12433862400000001
Beverly_hills426.png,639,434,686,466,Car,0,0.45796131,0.554232804,0.034970238,0.042328042
Beverly_hills426.png,672,432,702,462,Car,0,0.488467262,0.5515873020000001,0.023065476,0.03968254
Beverly_hills426.png,634,435,672,460,Car,0,0.45870535700000004,0.560185185,0.027529762000000003,0.033068783
Beverly_hills426.png,873,250,940,294,Street Lamp,3,0.625372024,0.302910053,0.04985119,0.058201058
Beverly_hills426.png,1254,28,1341,179,Street Sign,1,0.90141369,-0.061507937,0.06473214299999999,0.19973545
Beverly_hills426.png,0,91,49,219,Street Sign,1,-0.019345238,0.037037037,0.037202381,0.16931216899999998
Beverly_hills426.png,418,305,482,361,Street Sign,1,0.287202381,0.36574074100000004,0.047619048,0.075396825
Beverly_hills426.png,532,361,583,395,Street Sign,1,0.376860119,0.456349206,0.037946429,0.044973545
Beverly_hills426.png,909,374,946,401,Street Sign,1,0.6633184520000001,0.476851852,0.027529762000000003,0.035714286
Beverly_hills426.png,915,402,954,432,Street Sign,1,0.66703869,0.511904762,0.029017857,0.03968254
Beverly_hills340.png,907,306,1337,694,Minivan,4,0.515625,0.150132275,0.31994047600000003,0.511904762
Beverly_hills340.png,634,321,898,609,Minivan,4,0.37462797600000003,0.235449735,0.195684524,0.380952381
Beverly_hills340.png,860,440,982,487,Car,0,0.5956101189999999,0.552248677,0.090029762,0.062169312000000004
Beverly_hills340.png,422,427,560,557,Car,0,0.263392857,0.47883597899999997,0.102678571,0.171957672
Beverly_hills340.png,379,430,485,525,Car,0,0.242559524,0.5059523810000001,0.078869048,0.125661376
Beverly_hills340.png,522,439,592,505,Car,0,0.363095238,0.539021164,0.052083332999999996,0.085978836
Beverly_hills340.png,562,439,620,480,Car,0,0.396577381,0.553571429,0.043154762,0.054232804
Beverly_hills340.png,597,436,638,476,Car,0,0.4296875,0.552248677,0.030505952000000003,0.051587302
Beverly_hills340.png,651,335,686,379,Traffic Lights,5,0.47135416700000005,0.415343915,0.026041667,0.058201058
Beverly_hills340.png,283,320,318,379,Traffic Lights,5,0.19754464300000002,0.383597884,0.026041667,0.079365079
Beverly_hills340.png,683,205,772,286,Palm Tree,2,0.475074405,0.217592593,0.066220238,0.107142857
Beverly_hills340.png,421,232,515,297,Palm Tree,2,0.279017857,0.26521164,0.069940476,0.085978836
Beverly_hills340.png,495,261,544,324,Palm Tree,2,0.35119047600000003,0.30489418,0.035714286,0.083333333
Beverly_hills340.png,526,291,578,337,Palm Tree,2,0.37202381,0.35383597899999997,0.038690476,0.062169312000000004
Beverly_hills340.png,546,323,591,355,Palm Tree,2,0.389508929,0.40740740700000005,0.033482143,0.042328042
Beverly_hills340.png,601,333,642,384,Palm Tree,2,0.43266369,0.408068783,0.030505952000000003,0.067460317
Beverly_hills340.png,751,176,819,212,Street Lamp,3,0.53422619,0.20899470899999997,0.050595238,0.047619048
Beverly_hills340.png,338,175,420,224,Street Lamp,3,0.22172619,0.200396825,0.061011905,0.064814815
Beverly_hills340.png,302,266,337,301,Street Lamp,3,0.211681548,0.330026455,0.026041667,0.046296295999999994
Beverly_hills340.png,839,347,894,423,Street Sign,1,0.603794643,0.408730159,0.040922619,0.100529101
Beverly_hills340.png,437,390,463,427,Traffic Lights,5,0.316220238,0.49074074100000004,0.019345238,0.05026455
Beverly_hills397.png,794,390,1051,603,Car,0,0.495907738,0.375,0.19122023800000001,0.281746032
Beverly_hills397.png,569,440,769,616,Car,0,0.34858631,0.465608466,0.149553571,0.232804233
Beverly_hills397.png,379,422,551,564,Car,0,0.21875,0.466269841,0.12797619,0.18650793699999998
Beverly_hills397.png,368,411,482,510,Car,0,0.23139881,0.479497354,0.084821429,0.130952381
Beverly_hills397.png,224,422,360,513,Car,0,0.116071429,0.499338624,0.101190476,0.12037037
Beverly_hills397.png,12,412,244,601,Car,0,-0.077380952,0.421296296,0.172619048,0.25
