,tiff_file,layer_name,x_pixel,y_pixel,original_image,x_pixel_end,y_pixel_end
62640,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_7.tif,02 Moulted,625.0,705.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,685.0,765.0
62644,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_7.tif,02 Moulted,776.0,579.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,836.0,639.0
62261,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_8.tif,01 Whitecoats,357.0,341.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,417.0,401.0
62264,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_8.tif,01 Whitecoats,62.0,-20.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,122.0,40.0
62633,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_8.tif,02 Moulted,728.0,697.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,788.0,757.0
62635,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_8.tif,02 Moulted,23.0,255.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,83.0,315.0
62648,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_8.tif,02 Moulted,164.0,-3.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,224.0,57.0
62649,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_8.tif,02 Moulted,1.0,113.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,61.0,173.0
62590,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_9.tif,02 Moulted,425.0,537.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,485.0,597.0
62591,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_9.tif,02 Moulted,344.0,559.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,404.0,619.0
62592,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_9.tif,02 Moulted,272.0,602.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,332.0,662.0
62593,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_9.tif,02 Moulted,340.0,648.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,400.0,708.0
62594,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_9.tif,02 Moulted,203.0,740.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,263.0,800.0
62240,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_10.tif,01 Whitecoats,688.0,706.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,748.0,766.0
62239,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_11.tif,01 Whitecoats,207.0,181.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,267.0,241.0
62537,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_11.tif,02 Moulted,269.0,589.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,329.0,649.0
62567,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_11.tif,02 Moulted,653.0,103.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,713.0,163.0
62568,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_11.tif,02 Moulted,598.0,483.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,658.0,543.0
62569,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_11.tif,02 Moulted,343.0,154.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,403.0,214.0
62523,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_12.tif,02 Moulted,117.0,629.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,177.0,689.0
62524,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_12.tif,02 Moulted,584.0,594.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,644.0,654.0
62525,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_12.tif,02 Moulted,667.0,710.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,727.0,770.0
62529,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_12.tif,02 Moulted,483.0,714.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,543.0,774.0
62538,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_12.tif,02 Moulted,490.0,426.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,550.0,486.0
62539,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_12.tif,02 Moulted,720.0,576.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,780.0,636.0
62218,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_13.tif,01 Whitecoats,403.0,181.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,463.0,241.0
62219,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_13.tif,01 Whitecoats,800.0,138.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,860.0,198.0
62480,StitchMICE_ORKfh16_4_1117_CP_FIINAL_832_832_15.tif,02 Moulted,381.0,296.0,StitchMICE_ORKfh16_4_1117_CP_FIINAL.tif,441.0,356.0
66312,StitchMICE_ORKhs16_3_1103_CP_FINAL_832_832_5.tif,01 Whitecoats,770.0,706.0,StitchMICE_ORKhs16_3_1103_CP_FINAL.tif,830.0,766.0
66313,StitchMICE_ORKhs16_3_1103_CP_FINAL_832_832_5.tif,01 Whitecoats,702.0,188.0,StitchMICE_ORKhs16_3_1103_CP_FINAL.tif,762.0,248.0
66310,StitchMICE_ORKhs16_3_1103_CP_FINAL_832_832_6.tif,01 Whitecoats,-24.0,510.0,StitchMICE_ORKhs16_3_1103_CP_FINAL.tif,36.0,570.0
